Map Type,Zone ID,Zone Name,Has Data,Indicators
FAO,18,"Arctic Sea",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
FAO,21,"NW Atlantic",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
FAO,27,"NE Atlantic",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
FAO,31,"W Central Atlantic",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
FAO,34,"E Central Atlantic",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
FAO,37,"Med & Black Sea",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
FAO,41,"SW Atlantic",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
FAO,47,"SE Atlantic",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
FAO,48,"Antarctic (S Atlantic)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
FAO,51,"W Indian",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
FAO,57,"E Indian",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
FAO,58,"Antarctic (S Indian)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
FAO,61,"NW Pacific",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
FAO,67,"NE Pacific",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
FAO,71,"W Central Pacific",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
FAO,77,"E Central Pacific",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
FAO,81,"SW Pacific",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
FAO,87,"SE Pacific",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
FAO,88,"Antarctic (S Pacific)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
FAO,99,"",False,""
FAO,999,"MinBogus",False,""
FAO,9999,"MaxBogus",False,""
LME,1,"East Bering Sea",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,2,"Gulf of Alaska",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,3,"California Current",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,4,"Gulf of California",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,5,"Gulf of Mexico",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,6,"Southeast U.S. Continental Shelf",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,7,"Northeast U.S. Continental Shelf",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,8,"Scotian Shelf",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,9,"Newfoundland-Labrador Shelf",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,10,"Insular Pacific-Hawaiian",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,11,"Pacific Central-American Coastal",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,12,"Caribbean Sea",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,13,"Humboldt Current",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,14,"Patagonian Shelf",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,15,"South Brazil Shelf",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,16,"East Brazil Shelf",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,17,"North Brazil Shelf",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,18,"West Greenland Shelf",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,19,"Iceland Shelf/Sea",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,20,"Barents Sea",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,21,"Norwegian Sea",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,22,"North Sea",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,23,"Baltic Sea",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,24,"Celtic-Biscay Shelf",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,25,"Iberian Coastal",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,26,"Mediterranean Sea",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,27,"Canary Current",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,28,"Guinea Current",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,29,"Benguela Current",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,30,"Agulhas Current",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,31,"Somali Coastal Current",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,32,"Arabian Sea",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,33,"Red Sea",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,34,"Bay of Bengal",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,35,"Gulf of Thailand",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,36,"South China Sea",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,37,"Sulu-Celebes Sea",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,38,"Indonesian Sea",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,39,"North Australian Shelf",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,40,"Northeast Australian Shelf",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,41,"East Central Australian Shelf",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,42,"Southeast Australian Shelf",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,43,"Southwest Australian Shelf",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,44,"West Central Australian Shelf",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,45,"Northwest Australian Shelf",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,46,"New Zealand Shelf",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,47,"East China Sea",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,48,"Yellow Sea",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,49,"Kuroshio Current",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,50,"Sea of Japan/East Sea",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,51,"Oyashio Current",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,52,"Okhotsk Sea",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,53,"West Bering Sea",False,""
LME,54,"Chukchi Sea",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,55,"Beaufort Sea",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,56,"East Siberian Sea",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,57,"Laptev Sea",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,58,"Kara Sea",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,59,"Greenland Sea",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,60,"Faroe Plateau",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,61,"Antarctic",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,62,"Black Sea",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,63,"Hudson Bay",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,64,"Arctic Ocean",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,65,"Arctic Archipelago",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
LME,66,"Baffin Bay/Davis Straight",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,8,"Albania",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,12,"Algeria",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,16,"American Samoa",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,24,"Angola",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,28,"Antigua & Barbuda",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,32,"Argentina",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,36,"Australia",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,37,"Macquarie Isl. (Australia)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,38,"Lord Howe Isl. (Australia)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,44,"Bahamas",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,48,"Bahrain",False,""
EEZ,50,"Bangladesh",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,52,"Barbados",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,56,"Belgium",False,""
EEZ,60,"Bermuda (UK)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,70,"Bosnia & Herzegovina",False,""
EEZ,74,"Bouvet Isl. (Norway)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,76,"Brazil",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,77,"Trindade & Martim Vaz Isl. (Brazil)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,84,"Belize",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,86,"Chagos Archipelago (UK)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,90,"Solomon Isl.",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,92,"British Virgin Isl. (UK)",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,96,"Brunei Darussalam",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,100,"Bulgaria",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,104,"Myanmar",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,111,"Eritrea",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
EEZ,116,"Cambodia",True,"MCP;MSIS;NPP;OXY;PH;SBOT;SPP;SST"
